Latitude,Longitude,CorrectValue
35.37,138.08,0
35.4,138.4,0
35.08,138.05,1
35.14,138.23,0
35.26,137.84,1
34.75,137.56,1
35.14,137.8,1
35.08,137.74,1
34.65,138.48,0
35.35,138.01,1
34.82,137.6,1
34.71,138.05,1
34.5,138.14,0
35.07,138.06,1
35.14,137.92,1
34.6,138.46,0
35.06,138.45,0
34.68,137.84,1
34.77,138.24,0
35.47,138.46,0
35.4,138.37,0
35.29,138.35,0
35.44,138,0
35,138.43,0
34.74,138.33,0
35.18,138.35,0
34.75,137.53,1
34.68,137.92,1
34.91,138.07,1
34.62,138.19,0
34.66,138.42,0
34.98,138.14,1
34.92,138.49,0
34.7,138.06,1
35.07,138.08,1
34.61,137.65,1
35.14,138.44,0
34.54,137.64,1
34.96,138.18,1
35.23,138.14,0
35.14,137.86,1
35.48,138.21,0
34.78,137.62,1
34.9,137.84,1
34.58,138.48,0
35.26,137.75,1
34.84,137.78,1
34.66,138.4,0
34.92,138.27,0
35.05,137.9,1
35.01,137.83,1
35.1,138.35,0
35.39,138.19,0
35.06,137.98,1
34.91,138.33,0
35.22,138.03,1
34.66,138.29,0
34.53,137.54,1
34.96,138.49,0
34.83,137.76,1
34.73,138.31,0
35.1,138.32,0
35.45,137.74,1
34.92,137.84,1
34.7,137.61,1
34.84,138.26,0
34.98,137.65,1
35.27,138.11,0
35.49,138.49,0
34.95,137.59,1
35.24,137.62,1
34.84,138.08,1
34.52,138.21,0
35.1,137.59,1
35.33,137.54,1
35.27,137.94,1
35.45,137.59,1
35.23,137.82,1
35.35,137.95,1
35.08,137.83,1
35.1,138.5,0
34.85,137.83,1
34.71,138.23,0
34.67,138.34,0
35.39,137.62,1
34.85,138.08,1
35.33,138.32,0
35.4,138.29,0
34.87,138.22,0
34.94,137.72,1
35.48,137.52,1
35.28,138.39,0
34.9,138.45,0
35.28,138.13,0
35.07,137.9,1
34.67,138.23,0
34.89,138.27,0
35.49,138.42,0
35.02,137.86,1
34.61,138.40,0